matchNo,Date,Time,Team1,Team2,Score1,Score2
253,16.09.2023,21:00,Al Ahli SC,Al-Taawon,3,2
254,16.09.2023,18:00,Al-Raed,Al-Nassr,1,3
255,16.09.2023,18:00,Al-Hazem,Al Taee,1,1
256,16.09.2023,15:00,Abha,Al-Ettifaq,1,3
257,15.09.2023,21:00,Al Khaleej,Al-Fateh,1,3
258,15.09.2023,21:00,Al-Hilal,Al Riyadh,6,1
259,15.09.2023,18:00,Al Feiha,Al-Shabab,0,1
260,14.09.2023,21:00,Al Wehda,Damk,4,2
261,14.09.2023,18:00,Al-Okhdood,Al-Ittihad FC,0,1
262,02.09.2023,21:00,Al-Shabab,Al Khaleej,1,3
263,02.09.2023,21:00,Al-Ettifaq,Damk,3,1
264,02.09.2023,21:00,Al-Fateh,Al Ahli SC,5,1
265,02.09.2023,21:00,Al-Taawon,Al Wehda,4,1
266,02.09.2023,21:00,Al-Hazem,Al-Nassr,1,5
267,01.09.2023,21:00,Al-Ittihad FC,Al-Hilal,3,4
268,01.09.2023,21:00,Al Riyadh,Al-Okhdood,0,1
269,01.09.2023,18:00,Al Feiha,Al-Raed,0,0
270,01.09.2023,18:00,Al Taee,Abha,1,0
271,29.08.2023,21:00,Al-Nassr,Al-Shabab,4,0
272,29.08.2023,21:00,Al Ahli SC,Al Taee,2,0
273,29.08.2023,21:00,Al Khaleej,Al-Hazem,1,1
274,29.08.2023,18:00,Al-Okhdood,Al-Taawon,0,1
275,29.08.2023,18:00,Damk,Al-Fateh,2,2
276,28.08.2023,21:00,Al Wehda,Al-Ittihad FC,0,3
277,28.08.2023,21:00,Al-Raed,Al Riyadh,3,0
278,28.08.2023,21:00,Al-Hilal,Al-Ettifaq,2,0
279,28.08.2023,18:00,Abha,Al Feiha,2,1
280,25.08.2023,21:00,Al-Taawon,Abha,1,0
281,25.08.2023,21:00,Al-Shabab,Damk,1,1
282,25.08.2023,21:00,Al-Fateh,Al-Nassr,0,5
283,25.08.2023,18:00,Al Feiha,Al-Hazem,0,0
284,24.08.2023,21:00,Al-Raed,Al-Hilal,0,4
285,24.08.2023,21:00,Al-Ettifaq,Al Khaleej,1,1
286,24.08.2023,21:00,Al Riyadh,Al-Ittihad FC,0,4
287,24.08.2023,21:00,Al Ahli SC,Al-Okhdood,1,0
288,24.08.2023,18:00,Al Taee,Al Wehda,0,3
289,19.08.2023,21:00,Al-Hilal,Al Feiha,1,1
290,19.08.2023,21:00,Al-Ittihad FC,Al Taee,2,0
291,19.08.2023,18:00,Abha,Al-Raed,1,0
292,18.08.2023,21:00,Al-Hazem,Al-Ettifaq,0,2
293,18.08.2023,21:00,Al-Nassr,Al-Taawon,0,2
294,18.08.2023,21:00,Al Wehda,Al-Shabab,3,1
295,18.08.2023,18:00,Al-Okhdood,Al-Fateh,1,3
296,17.08.2023,21:00,Al Khaleej,Al Ahli SC,1,3
297,17.08.2023,18:00,Damk,Al Riyadh,2,2
298,14.08.2023,21:00,Al-Shabab,Al-Okhdood,1,1
299,14.08.2023,21:00,Al-Ettifaq,Al-Nassr,2,1
300,14.08.2023,18:00,Abha,Al-Hilal,1,3
301,14.08.2023,18:00,Al-Raed,Al-Ittihad FC,0,3
302,13.08.2023,21:00,Al-Fateh,Al-Taawon,1,1
303,13.08.2023,21:00,Al Riyadh,Al Wehda,1,0
304,12.08.2023,21:00,Al Feiha,Al Khaleej,3,1
305,12.08.2023,18:00,Al Taee,Damk,1,0
306,11.08.2023,21:00,Al Ahli SC,Al-Hazem,3,1
