"matchNo","Date","Time","Team1","Team2","Score1","Score2","Season"
57,"01.01.2003","20:00","Al-Shoalah","Al Qadisiya",0,0,"2002-2003"
58,"01.01.2003","20:00","Al Najma","Al-Shabab",1,3,"2002-2003"
59,"01.01.2003","20:00","Al Ahli SC","Al-Ittihad FC",1,4,"2002-2003"
60,"02.01.2003","20:00","Al-Raed","Al Riyadh",3,1,"2002-2003"
61,"02.01.2003","20:00","Al-Hilal","Al-Nassr",1,1,"2002-2003"
62,"02.01.2003","20:00","Al Taee","Al-Ettifaq",3,2,"2002-2003"
63,"08.01.2003","20:00","Al-Shabab","Al-Shoalah",4,2,"2002-2003"
64,"08.01.2003","20:00","Al Qadisiya","Al Ahli SC",3,2,"2002-2003"
65,"09.01.2003","20:00","Al Riyadh","Al Taee",1,1,"2002-2003"
66,"10.01.2003","20:00","Al-Nassr","Al-Raed",6,1,"2002-2003"
67,"10.01.2003","20:00","Al-Ettifaq","Al Najma",4,2,"2002-2003"
68,"11.01.2003","20:00","Al-Ittihad FC","Al-Hilal",1,1,"2002-2003"
69,"15.01.2003","20:00","Al-Nassr","Al Taee",4,1,"2002-2003"
70,"16.01.2003","20:00","Al Riyadh","Al Najma",2,0,"2002-2003"
71,"17.01.2003","20:00","Al-Raed","Al-Hilal",1,1,"2002-2003"
72,"17.01.2003","20:00","Al-Ettifaq","Al-Shoalah",1,1,"2002-2003"
73,"22.01.2003","20:00","Al-Shoalah","Al Riyadh",1,1,"2002-2003"
74,"22.01.2003","20:00","Al-Hilal","Al Qadisiya",2,1,"2002-2003"
75,"23.01.2003","20:00","Al Taee","Al-Raed",0,0,"2002-2003"
76,"23.01.2003","20:00","Al Najma","Al-Nassr",0,6,"2002-2003"
77,"06.02.2003","20:00","Al-Raed","Al Najma",3,0,"2002-2003"
78,"08.02.2003","20:00","Al-Nassr","Al-Shoalah",3,1,"2002-2003"
79,"08.02.2003","20:00","Al Qadisiya","Al-Shabab",1,1,"2002-2003"
80,"09.02.2003","20:00","Al-Ettifaq","Al-Ittihad FC",1,2,"2002-2003"
81,"09.02.2003","20:00","Al Riyadh","Al Ahli SC",0,3,"2002-2003"
82,"14.02.2003","20:00","Al-Shabab","Al Ahli SC",0,1,"2002-2003"
83,"15.02.2003","20:00","Al Qadisiya","Al-Ittihad FC",1,5,"2002-2003"
84,"16.02.2003","20:00","Al Ahli SC","Al-Ettifaq",2,1,"2002-2003"
85,"19.02.2003","20:00","Al-Shabab","Al-Hilal",0,0,"2002-2003"
86,"19.02.2003","20:00","Al-Ittihad FC","Al Riyadh",5,1,"2002-2003"
87,"20.02.2003","20:00","Al-Shoalah","Al-Raed",2,2,"2002-2003"
88,"20.02.2003","20:00","Al Najma","Al Taee",1,1,"2002-2003"
89,"21.02.2003","20:00","Al-Nassr","Al Ahli SC",1,0,"2002-2003"
90,"21.02.2003","20:00","Al Qadisiya","Al-Ettifaq",4,1,"2002-2003"
91,"23.02.2003","20:00","Al-Hilal","Al Riyadh",2,0,"2002-2003"
92,"27.02.2003","20:00","Al-Hilal","Al Najma",1,1,"2002-2003"
93,"27.02.2003","20:00","Al-Ettifaq","Al-Shabab",0,1,"2002-2003"
94,"27.02.2003","20:00","Al Ahli SC","Al-Raed",5,0,"2002-2003"
95,"28.02.2003","20:00","Al-Ittihad FC","Al-Nassr",3,3,"2002-2003"
96,"28.02.2003","20:00","Al Taee","Al-Shoalah",1,0,"2002-2003"
97,"28.02.2003","20:00","Al Riyadh","Al Qadisiya",3,2,"2002-2003"
98,"04.03.2003","20:00","Al-Ettifaq","Al-Hilal",0,0,"2002-2003"
99,"05.03.2003","20:00","Al-Shoalah","Al Najma",2,1,"2002-2003"
100,"06.03.2003","20:00","Al-Shabab","Al Riyadh",0,0,"2002-2003"
101,"06.03.2003","20:00","Al-Raed","Al-Ittihad FC",1,3,"2002-2003"
102,"06.03.2003","20:00","Al Qadisiya","Al-Nassr",0,1,"2002-2003"
103,"06.03.2003","20:00","Al Ahli SC","Al Taee",2,0,"2002-2003"
104,"12.03.2003","20:00","Al-Nassr","Al-Shabab",1,0,"2002-2003"
105,"12.03.2003","20:00","Al Taee","Al-Ittihad FC",0,2,"2002-2003"
106,"12.03.2003","20:00","Al Najma","Al Ahli SC",2,3,"2002-2003"
107,"13.03.2003","20:00","Al-Raed","Al Qadisiya",1,2,"2002-2003"
108,"13.03.2003","20:00","Al Riyadh","Al-Ettifaq",1,1,"2002-2003"
109,"04.04.2003","19:00","Al Ahli SC","Al-Shoalah",5,0,"2002-2003"
110,"10.04.2003","19:00","Al-Shabab","Al-Raed",3,1,"2002-2003"
111,"10.04.2003","19:00","Al-Ittihad FC","Al Najma",1,1,"2002-2003"
112,"10.04.2003","19:00","Al-Ettifaq","Al-Nassr",2,2,"2002-2003"
113,"11.04.2003","19:00","Al Qadisiya","Al Taee",2,0,"2002-2003"
114,"14.04.2003","19:00","Al-Ittihad FC","Al-Shabab",4,0,"2002-2003"
115,"16.04.2003","19:00","Al-Raed","Al-Ettifaq",1,2,"2002-2003"
116,"16.04.2003","19:00","Al-Nassr","Al Riyadh",2,1,"2002-2003"
117,"17.04.2003","19:00","Al-Hilal","Al Ahli SC",0,2,"2002-2003"
118,"17.04.2003","19:00","Al Najma","Al Qadisiya",0,4,"2002-2003"
119,"18.04.2003","19:00","Al-Shoalah","Al-Ittihad FC",0,2,"2002-2003"
120,"18.04.2003","19:00","Al Taee","Al-Shabab",0,1,"2002-2003"
121,"23.04.2003","19:00","Al-Ittihad FC","Al Ahli SC",0,1,"2002-2003"
122,"23.04.2003","19:00","Al Riyadh","Al-Raed",2,1,"2002-2003"
123,"24.04.2003","19:00","Al-Nassr","Al-Hilal",0,2,"2002-2003"
124,"24.04.2003","19:00","Al Qadisiya","Al-Shoalah",2,1,"2002-2003"
125,"25.04.2003","19:00","Al-Shabab","Al Najma",2,0,"2002-2003"
126,"25.04.2003","19:00","Al-Ettifaq","Al Taee",2,0,"2002-2003"
127,"01.05.2003","19:00","Al Najma","Al-Ettifaq",3,3,"2002-2003"
128,"07.05.2003","19:00","Al-Shoalah","Al-Shabab",1,6,"2002-2003"
129,"07.05.2003","19:00","Al Taee","Al Riyadh",1,0,"2002-2003"
130,"08.05.2003","19:00","Al-Raed","Al-Nassr",0,2,"2002-2003"
131,"08.05.2003","19:00","Al-Hilal","Al-Ittihad FC",2,1,"2002-2003"
132,"08.05.2003","19:00","Al Ahli SC","Al Qadisiya",3,0,"2002-2003"
133,"15.05.2003","18:30","Al-Nassr","Al Qadisiya",0,1,"2002-2003"
134,"22.05.2003","18:30","Al Ahli SC","Al Qadisiya",3,2,"2002-2003"
135,"29.05.2003","18:30","Al-Ittihad FC","Al Ahli SC",3,2,"2002-2003"
1,"28.08.2003","19:00","Al-Shabab","Al Taee",7,0,"2003-2004"
2,"28.08.2003","19:00","Al-Ettifaq","Al-Hilal",0,0,"2003-2004"
3,"29.08.2003","19:00","Al-Nassr","Al-Shoalah",3,0,"2003-2004"
4,"29.08.2003","19:00","Al Qadisiya","Al Riyadh",4,0,"2003-2004"
5,"29.08.2003","19:00","Al Khaleej","Al-Ittihad FC",0,4,"2003-2004"
6,"03.09.2003","19:00","Al-Shoalah","Al Ahli SC",3,1,"2003-2004"
7,"03.09.2003","19:00","Al-Hilal","Al-Shabab",2,2,"2003-2004"
8,"03.09.2003","19:00","Al Taee","Al-Nassr",1,2,"2003-2004"
9,"04.09.2003","19:00","Al-Ittihad FC","Al Wehda",4,2,"2003-2004"
10,"04.09.2003","19:00","Al-Ettifaq","Al Qadisiya",4,2,"2003-2004"
11,"04.09.2003","19:00","Al Riyadh","Al Khaleej",2,0,"2003-2004"
12,"11.09.2003","19:00","Al-Nassr","Al-Hilal",1,1,"2003-2004"
13,"11.09.2003","19:00","Al Wehda","Al-Shoalah",2,1,"2003-2004"
14,"11.09.2003","19:00","Al Qadisiya","Al-Shabab",1,1,"2003-2004"
15,"11.09.2003","19:00","Al Ahli SC","Al Taee",1,0,"2003-2004"
16,"12.09.2003","19:00","Al Riyadh","Al-Ittihad FC",1,2,"2003-2004"
17,"12.09.2003","19:00","Al Khaleej","Al-Ettifaq",1,2,"2003-2004"
18,"16.09.2003","19:00","Al-Shabab","Al Khaleej",1,4,"2003-2004"
19,"16.09.2003","19:00","Al-Ittihad FC","Al-Shoalah",3,1,"2003-2004"
20,"16.09.2003","19:00","Al-Hilal","Al Ahli SC",2,1,"2003-2004"
21,"16.09.2003","19:00","Al-Ettifaq","Al Riyadh",0,1,"2003-2004"
22,"16.09.2003","19:00","Al Taee","Al Wehda",1,6,"2003-2004"
23,"16.09.2003","19:00","Al Qadisiya","Al-Nassr",1,2,"2003-2004"
24,"19.09.2003","19:00","Al Wehda","Al-Hilal",3,2,"2003-2004"
25,"20.09.2003","19:00","Al-Shoalah","Al Taee",1,0,"2003-2004"
26,"20.09.2003","19:00","Al-Nassr","Al Khaleej",2,1,"2003-2004"
27,"20.09.2003","19:00","Al-Ittihad FC","Al-Ettifaq",5,0,"2003-2004"
28,"20.09.2003","19:00","Al Riyadh","Al-Shabab",1,3,"2003-2004"
29,"25.09.2003","19:00","Al-Shabab","Al-Ettifaq",4,3,"2003-2004"
30,"25.09.2003","19:00","Al Wehda","Al Qadisiya",0,1,"2003-2004"
31,"25.09.2003","19:00","Al Khaleej","Al Ahli SC",2,0,"2003-2004"
32,"26.09.2003","19:00","Al-Shoalah","Al-Hilal",0,3,"2003-2004"
33,"26.09.2003","19:00","Al Taee","Al-Ittihad FC",0,3,"2003-2004"
34,"26.09.2003","19:00","Al Riyadh","Al-Nassr",0,3,"2003-2004"
35,"19.10.2003","19:00","Al Khaleej","Al Wehda",4,6,"2003-2004"
36,"20.10.2003","19:00","Al-Ittihad FC","Al-Shabab",4,3,"2003-2004"
37,"20.10.2003","19:00","Al-Hilal","Al Taee",1,2,"2003-2004"
38,"20.10.2003","19:00","Al Qadisiya","Al-Shoalah",4,0,"2003-2004"
39,"21.10.2003","19:00","Al-Ettifaq","Al-Nassr",1,1,"2003-2004"
40,"21.10.2003","19:00","Al Ahli SC","Al Riyadh",1,1,"2003-2004"
41,"24.10.2003","19:00","Al-Hilal","Al-Ittihad FC",0,0,"2003-2004"
42,"24.10.2003","19:00","Al Taee","Al Qadisiya",3,1,"2003-2004"
43,"25.10.2003","19:00","Al-Shoalah","Al Khaleej",3,3,"2003-2004"
44,"25.10.2003","19:00","Al-Nassr","Al-Shabab",2,1,"2003-2004"
45,"25.10.2003","19:00","Al Wehda","Al Riyadh",0,0,"2003-2004"
46,"25.10.2003","19:00","Al Ahli SC","Al-Ettifaq",1,1,"2003-2004"
47,"28.10.2003","20:00","Al Ahli SC","Al Wehda",1,0,"2003-2004"
48,"30.10.2003","20:00","Al-Ettifaq","Al Wehda",1,1,"2003-2004"
49,"30.10.2003","20:00","Al Riyadh","Al-Shoalah",3,2,"2003-2004"
50,"31.10.2003","20:00","Al Khaleej","Al Taee",1,2,"2003-2004"
51,"07.11.2003","20:00","Al-Shoalah","Al-Ettifaq",0,3,"2003-2004"
52,"07.11.2003","20:00","Al-Ittihad FC","Al Qadisiya",2,1,"2003-2004"
53,"07.11.2003","20:00","Al-Hilal","Al Khaleej",2,0,"2003-2004"
54,"07.11.2003","20:00","Al Taee","Al Riyadh",0,0,"2003-2004"
55,"08.11.2003","20:00","Al-Nassr","Al Ahli SC",0,2,"2003-2004"
56,"08.11.2003","20:00","Al Wehda","Al-Shabab",1,3,"2003-2004"
57,"12.11.2003","20:00","Al Riyadh","Al-Hilal",1,2,"2003-2004"
58,"12.11.2003","20:00","Al Qadisiya","Al Khaleej",1,0,"2003-2004"
59,"13.11.2003","20:00","Al-Shabab","Al-Shoalah",3,1,"2003-2004"
60,"13.11.2003","20:00","Al-Ettifaq","Al Taee",0,2,"2003-2004"
61,"13.11.2003","20:00","Al Wehda","Al-Nassr",1,3,"2003-2004"
62,"13.11.2003","20:00","Al Ahli SC","Al-Ittihad FC",1,1,"2003-2004"
63,"16.11.2003","20:00","Al-Shabab","Al Ahli SC",1,0,"2003-2004"
64,"16.11.2003","20:00","Al-Ittihad FC","Al-Nassr",2,1,"2003-2004"
65,"16.11.2003","20:00","Al Qadisiya","Al-Hilal",0,2,"2003-2004"
66,"19.11.2003","20:00","Al Ahli SC","Al Qadisiya",1,1,"2003-2004"
67,"28.11.2003","20:00","Al Taee","Al-Shabab",2,0,"2003-2004"
68,"29.11.2003","20:00","Al-Ittihad FC","Al Khaleej",4,0,"2003-2004"
69,"29.11.2003","20:00","Al-Hilal","Al-Ettifaq",1,0,"2003-2004"
70,"29.11.2003","20:00","Al Wehda","Al Ahli SC",0,1,"2003-2004"
71,"30.11.2003","20:00","Al-Shoalah","Al-Nassr",1,4,"2003-2004"
72,"30.11.2003","20:00","Al Riyadh","Al Qadisiya",1,2,"2003-2004"
73,"08.12.2003","20:00","Al-Nassr","Al Taee",0,3,"2003-2004"
74,"08.12.2003","20:00","Al Qadisiya","Al-Ettifaq",0,4,"2003-2004"
75,"08.12.2003","20:00","Al Khaleej","Al Riyadh",1,1,"2003-2004"
76,"15.01.2004","20:00","Al-Shoalah","Al Wehda",1,0,"2003-2004"
77,"15.01.2004","20:00","Al-Ittihad FC","Al Riyadh",3,0,"2003-2004"
78,"15.01.2004","20:00","Al-Hilal","Al-Nassr",1,2,"2003-2004"
79,"15.01.2004","20:00","Al Taee","Al Ahli SC",0,0,"2003-2004"
80,"16.01.2004","20:00","Al-Shabab","Al Qadisiya",3,1,"2003-2004"
81,"16.01.2004","20:00","Al-Ettifaq","Al Khaleej",2,0,"2003-2004"
82,"16.01.2004","20:00","Al Riyadh","Al-Ettifaq",0,2,"2003-2004"
83,"20.01.2004","20:00","Al-Shoalah","Al-Ittihad FC",0,1,"2003-2004"
84,"20.01.2004","20:00","Al-Nassr","Al Qadisiya",0,1,"2003-2004"
85,"22.01.2004","20:00","Al Wehda","Al Taee",2,1,"2003-2004"
86,"22.01.2004","20:00","Al Khaleej","Al-Shabab",0,2,"2003-2004"
87,"26.01.2004","20:00","Al-Hilal","Al Wehda",3,1,"2003-2004"
88,"26.01.2004","20:00","Al Qadisiya","Al Ahli SC",1,1,"2003-2004"
89,"27.01.2004","20:00","Al-Ettifaq","Al-Ittihad FC",0,3,"2003-2004"
90,"28.01.2004","20:00","Al-Shabab","Al Riyadh",5,0,"2003-2004"
91,"28.01.2004","20:00","Al Taee","Al-Shoalah",0,1,"2003-2004"
92,"28.01.2004","20:00","Al Khaleej","Al-Nassr",2,3,"2003-2004"
93,"05.02.2004","20:00","Al Qadisiya","Al Wehda",1,2,"2003-2004"
94,"07.02.2004","20:00","Al-Nassr","Al Riyadh",0,1,"2003-2004"
95,"09.02.2004","20:00","Al-Ittihad FC","Al Taee",6,0,"2003-2004"
96,"09.02.2004","20:00","Al-Hilal","Al-Shoalah",6,0,"2003-2004"
97,"09.02.2004","20:00","Al-Ettifaq","Al-Shabab",1,1,"2003-2004"
98,"10.02.2004","20:00","Al Ahli SC","Al Khaleej",3,1,"2003-2004"
99,"13.02.2004","20:00","Al-Nassr","Al-Ettifaq",0,2,"2003-2004"
100,"13.02.2004","20:00","Al Taee","Al-Hilal",0,1,"2003-2004"
101,"14.02.2004","20:00","Al-Shoalah","Al Qadisiya",0,0,"2003-2004"
102,"15.02.2004","20:00","Al Wehda","Al Khaleej",2,1,"2003-2004"
103,"15.02.2004","20:00","Al Riyadh","Al Ahli SC",0,2,"2003-2004"
104,"19.02.2004","20:00","Al Riyadh","Al Wehda",4,2,"2003-2004"
105,"19.02.2004","20:00","Al Khaleej","Al-Shoalah",3,2,"2003-2004"
106,"20.02.2004","20:00","Al-Shabab","Al-Nassr",6,1,"2003-2004"
107,"20.02.2004","20:00","Al Qadisiya","Al Taee",1,1,"2003-2004"
108,"18.03.2004","20:00","Al-Shoalah","Al Riyadh",2,1,"2003-2004"
109,"18.03.2004","20:00","Al-Hilal","Al Qadisiya",3,0,"2003-2004"
110,"18.03.2004","20:00","Al Wehda","Al-Ettifaq",0,2,"2003-2004"
111,"18.03.2004","20:00","Al Ahli SC","Al-Shabab",1,1,"2003-2004"
112,"19.03.2004","20:00","Al-Nassr","Al-Ittihad FC",1,1,"2003-2004"
113,"19.03.2004","20:00","Al Taee","Al Khaleej",2,1,"2003-2004"
114,"23.03.2004","20:00","Al Khaleej","Al-Hilal",0,3,"2003-2004"
115,"29.03.2004","19:00","Al-Shabab","Al-Hilal",1,0,"2003-2004"
116,"29.03.2004","19:00","Al Wehda","Al-Ittihad FC",0,3,"2003-2004"
117,"01.04.2004","19:00","Al Ahli SC","Al-Shoalah",4,1,"2003-2004"
118,"11.04.2004","19:00","Al-Ittihad FC","Al-Hilal",1,0,"2003-2004"
119,"19.04.2004","19:00","Al-Ettifaq","Al Ahli SC",0,2,"2003-2004"
120,"23.04.2004","19:00","Al-Shabab","Al-Ittihad FC",1,1,"2003-2004"
121,"25.04.2004","19:00","Al Ahli SC","Al-Hilal",2,1,"2003-2004"
122,"27.04.2004","19:00","Al Qadisiya","Al-Ittihad FC",0,1,"2003-2004"
123,"05.05.2004","19:00","Al-Shabab","Al Wehda",0,0,"2003-2004"
124,"05.05.2004","19:00","Al-Ettifaq","Al-Shoalah",3,0,"2003-2004"
125,"05.05.2004","19:00","Al Riyadh","Al Taee",3,0,"2003-2004"
126,"05.05.2004","19:00","Al Ahli SC","Al-Nassr",2,1,"2003-2004"
127,"11.05.2004","19:00","Al-Ittihad FC","Al Ahli SC",3,3,"2003-2004"
128,"13.05.2004","19:00","Al-Shoalah","Al-Shabab",0,1,"2003-2004"
129,"13.05.2004","19:00","Al-Nassr","Al Wehda",2,2,"2003-2004"
130,"13.05.2004","19:00","Al-Hilal","Al Riyadh",4,1,"2003-2004"
131,"13.05.2004","19:00","Al Taee","Al-Ettifaq",0,3,"2003-2004"
132,"13.05.2004","19:00","Al Khaleej","Al Qadisiya",0,1,"2003-2004"
133,"23.05.2004","18:30","Al-Hilal","Al Ahli SC",1,5,"2003-2004"
134,"27.05.2004","18:30","Al-Shabab","Al Ahli SC",2,1,"2003-2004"
135,"18.06.2004","18:30","Al-Ittihad FC","Al-Shabab",0,1,"2003-2004"
1,"27.08.2004","19:00","Al-Ittihad FC","Ohod",4,1,"2004-2005"
2,"27.08.2004","19:00","Al-Hilal","Al Taee",4,0,"2004-2005"
3,"27.08.2004","19:00","Al-Ettifaq","Al Wehda",2,0,"2004-2005"
4,"28.08.2004","19:00","Al-Shabab","Al Ansar",4,0,"2004-2005"
5,"28.08.2004","19:00","Al Qadisiya","Al-Nassr",1,2,"2004-2005"
6,"28.08.2004","19:00","Al Ahli SC","Al Riyadh",2,0,"2004-2005"
7,"02.09.2004","19:00","Ohod","Al-Shabab",0,2,"2004-2005"
8,"02.09.2004","19:00","Al-Nassr","Al-Ettifaq",1,0,"2004-2005"
9,"02.09.2004","19:00","Al Wehda","Al Ahli SC",3,0,"2004-2005"
10,"02.09.2004","19:00","Al Taee","Al-Ittihad FC",2,0,"2004-2005"
11,"02.09.2004","19:00","Al Qadisiya","Al-Hilal",3,3,"2004-2005"
12,"03.09.2004","19:00","Al Riyadh","Al Ansar",1,1,"2004-2005"
13,"06.09.2004","19:00","Al-Ettifaq","Al-Ittihad FC",1,1,"2004-2005"
14,"09.09.2004","19:00","Al Taee","Ohod",2,0,"2004-2005"
15,"09.09.2004","19:00","Al Riyadh","Al-Shabab",0,1,"2004-2005"
16,"09.09.2004","19:00","Al Ansar","Al Wehda",1,0,"2004-2005"
17,"10.09.2004","19:00","Al-Nassr","Al Ahli SC",3,1,"2004-2005"
18,"15.09.2004","19:00","Al Ansar","Al-Nassr",1,2,"2004-2005"
19,"15.09.2004","19:00","Al Ahli SC","Al-Hilal",3,0,"2004-2005"
20,"16.09.2004","19:00","Ohod","Al Qadisiya",1,1,"2004-2005"
21,"16.09.2004","19:00","Al-Shabab","Al Taee",2,1,"2004-2005"
22,"16.09.2004","19:00","Al Wehda","Al Riyadh",3,2,"2004-2005"
23,"22.09.2004","19:00","Al-Hilal","Al Ansar",0,1,"2004-2005"
24,"22.09.2004","19:00","Al Wehda","Al-Shabab",1,1,"2004-2005"
25,"22.09.2004","19:00","Al Qadisiya","Al Taee",3,1,"2004-2005"
26,"23.09.2004","19:00","Al-Ettifaq","Ohod",1,1,"2004-2005"
27,"23.09.2004","19:00","Al Riyadh","Al-Nassr",3,1,"2004-2005"
28,"26.09.2004","19:00","Al Ahli SC","Al-Ittihad FC",2,4,"2004-2005"
29,"29.09.2004","19:00","Al-Shabab","Al Qadisiya",2,0,"2004-2005"
30,"30.09.2004","19:00","Al-Nassr","Al Wehda",6,2,"2004-2005"
31,"01.10.2004","19:00","Ohod","Al Ahli SC",0,5,"2004-2005"
32,"01.10.2004","19:00","Al-Ittihad FC","Al Ansar",4,0,"2004-2005"
33,"01.10.2004","19:00","Al Taee","Al-Ettifaq",1,0,"2004-2005"
34,"01.10.2004","19:00","Al Riyadh","Al-Hilal",1,1,"2004-2005"
35,"08.10.2004","19:00","Al-Ittihad FC","Al Qadisiya",2,0,"2004-2005"
36,"10.10.2004","19:00","Al-Hilal","Al-Ettifaq",1,0,"2004-2005"
37,"15.10.2004","19:00","Al Wehda","Al-Ittihad FC",2,2,"2004-2005"
38,"15.10.2004","19:00","Al Taee","Al Ansar",1,1,"2004-2005"
39,"15.10.2004","19:00","Al Riyadh","Ohod",1,0,"2004-2005"
40,"16.10.2004","19:00","Al-Hilal","Al-Nassr",2,0,"2004-2005"
41,"16.10.2004","19:00","Al Qadisiya","Al Ahli SC",2,1,"2004-2005"
42,"17.10.2004","19:00","Al-Shabab","Al-Ettifaq",0,0,"2004-2005"
43,"21.10.2004","19:00","Al-Shabab","Al-Hilal",1,2,"2004-2005"
44,"21.10.2004","19:00","Al Ansar","Al Qadisiya",0,1,"2004-2005"
45,"22.10.2004","19:00","Ohod","Al Wehda",2,1,"2004-2005"
46,"22.10.2004","19:00","Al Taee","Al Riyadh",3,1,"2004-2005"
47,"27.10.2004","19:00","Al-Nassr","Ohod",2,0,"2004-2005"
48,"27.10.2004","19:00","Al Wehda","Al Taee",3,2,"2004-2005"
49,"27.10.2004","19:00","Al Qadisiya","Al Riyadh",1,1,"2004-2005"
50,"27.10.2004","19:00","Al Ansar","Al-Ettifaq",1,1,"2004-2005"
51,"29.10.2004","19:00","Al Ahli SC","Al-Shabab",1,0,"2004-2005"
52,"01.11.2004","20:00","Al-Nassr","Al-Shabab",0,2,"2004-2005"
53,"01.11.2004","20:00","Al-Ettifaq","Al Qadisiya",0,0,"2004-2005"
54,"01.11.2004","20:00","Al Ansar","Ohod",3,1,"2004-2005"
55,"01.11.2004","20:00","Al Ahli SC","Al Taee",3,0,"2004-2005"
56,"02.11.2004","20:00","Al Wehda","Al-Hilal",0,3,"2004-2005"
57,"08.11.2004","20:00","Al-Ittihad FC","Al Riyadh",4,1,"2004-2005"
58,"19.11.2004","20:00","Ohod","Al-Hilal",1,3,"2004-2005"
59,"19.11.2004","20:00","Al-Shabab","Al-Ittihad FC",1,1,"2004-2005"
60,"19.11.2004","20:00","Al Ahli SC","Al Ansar",6,1,"2004-2005"
61,"20.11.2004","20:00","Al Taee","Al-Nassr",2,0,"2004-2005"
62,"20.11.2004","20:00","Al Riyadh","Al-Ettifaq",2,1,"2004-2005"
63,"20.11.2004","20:00","Al Qadisiya","Al Wehda",1,1,"2004-2005"
64,"27.12.2004","20:00","Al-Ettifaq","Al Ahli SC",0,1,"2004-2005"
65,"27.12.2004","20:00","Al Ansar","Al-Hilal",1,3,"2004-2005"
66,"28.12.2004","20:00","Al-Ittihad FC","Al-Nassr",1,1,"2004-2005"
67,"31.12.2004","20:00","Ohod","Al Taee",0,1,"2004-2005"
68,"31.12.2004","20:00","Al Ahli SC","Al Wehda",1,0,"2004-2005"
69,"05.01.2005","20:00","Ohod","Al-Ittihad FC",1,3,"2004-2005"
70,"05.01.2005","20:00","Al Taee","Al-Hilal",1,2,"2004-2005"
71,"05.01.2005","20:00","Al Riyadh","Al Ahli SC",2,2,"2004-2005"
72,"06.01.2005","20:00","Al-Nassr","Al Qadisiya",2,1,"2004-2005"
73,"06.01.2005","20:00","Al Wehda","Al-Ettifaq",1,0,"2004-2005"
74,"06.01.2005","20:00","Al Ansar","Al-Shabab",3,6,"2004-2005"
75,"12.01.2005","20:00","Al-Shabab","Ohod",3,1,"2004-2005"
76,"12.01.2005","20:00","Al-Ettifaq","Al-Nassr",0,0,"2004-2005"
77,"12.01.2005","20:00","Al Ansar","Al Riyadh",2,1,"2004-2005"
78,"14.01.2005","20:00","Al-Ittihad FC","Al Taee",3,0,"2004-2005"
79,"14.01.2005","20:00","Al-Hilal","Al Qadisiya",1,0,"2004-2005"
80,"16.01.2005","20:00","Al-Shabab","Al Riyadh",3,1,"2004-2005"
81,"16.01.2005","20:00","Al Wehda","Al Ansar",1,1,"2004-2005"
82,"17.01.2005","20:00","Al-Ettifaq","Al-Hilal",0,3,"2004-2005"
83,"30.01.2005","20:00","Al-Hilal","Al-Ittihad FC",4,2,"2004-2005"
84,"02.02.2005","20:00","Al Taee","Al-Shabab",0,2,"2004-2005"
85,"02.02.2005","20:00","Al Riyadh","Al Wehda",1,2,"2004-2005"
86,"03.02.2005","20:00","Al-Nassr","Al Ansar",3,2,"2004-2005"
87,"04.02.2005","20:00","Al-Hilal","Al Ahli SC",2,1,"2004-2005"
88,"05.02.2005","20:00","Al-Ittihad FC","Al-Ettifaq",4,3,"2004-2005"
89,"05.02.2005","20:00","Al Qadisiya","Ohod",2,1,"2004-2005"
90,"22.02.2005","20:00","Al-Shabab","Al Wehda",2,1,"2004-2005"
91,"24.02.2005","20:00","Al-Nassr","Al Riyadh",3,1,"2004-2005"
92,"24.02.2005","20:00","Al Taee","Al Qadisiya",1,2,"2004-2005"
93,"26.02.2005","20:00","Ohod","Al-Ettifaq",1,2,"2004-2005"
94,"26.02.2005","20:00","Al-Ittihad FC","Al Ahli SC",3,2,"2004-2005"
95,"28.02.2005","20:00","Al Qadisiya","Al-Shabab",1,2,"2004-2005"
96,"10.03.2005","20:00","Al-Hilal","Al Riyadh",1,1,"2004-2005"
97,"10.03.2005","20:00","Al-Ettifaq","Al Taee",4,0,"2004-2005"
98,"10.03.2005","20:00","Al Wehda","Al-Nassr",2,2,"2004-2005"
99,"10.03.2005","20:00","Al Ansar","Al-Ittihad FC",3,2,"2004-2005"
100,"15.03.2005","20:00","Al Qadisiya","Al-Ittihad FC",3,2,"2004-2005"
101,"20.03.2005","20:00","Ohod","Al Ansar",2,2,"2004-2005"
102,"20.03.2005","20:00","Al Riyadh","Al-Ittihad FC",1,4,"2004-2005"
103,"20.03.2005","20:00","Al Qadisiya","Al-Ettifaq",1,1,"2004-2005"
104,"21.03.2005","20:00","Al-Hilal","Al Wehda",1,1,"2004-2005"
105,"22.03.2005","20:00","Al-Shabab","Al-Nassr",1,1,"2004-2005"
106,"22.03.2005","20:00","Al Taee","Al Ahli SC",1,1,"2004-2005"
107,"27.03.2005","19:00","Al Ahli SC","Al-Nassr",2,3,"2004-2005"
108,"04.05.2005","19:00","Ohod","Al Riyadh",2,2,"2004-2005"
109,"04.05.2005","19:00","Al-Ittihad FC","Al Wehda",3,3,"2004-2005"
110,"04.05.2005","19:00","Al-Ettifaq","Al-Shabab",0,3,"2004-2005"
111,"05.05.2005","19:00","Al-Nassr","Al-Hilal",1,1,"2004-2005"
112,"05.05.2005","19:00","Al Ansar","Al Taee",3,2,"2004-2005"
113,"08.05.2005","19:00","Al Ahli SC","Al Qadisiya",2,0,"2004-2005"
114,"12.05.2005","19:00","Al Wehda","Ohod",5,0,"2004-2005"
